"contract_id","snapshot_idx","rep_rank_pct","low_rep_streak","window_trade_count","current_mint_supply_count","mode","decision","risk_label","market_view","reputation_view","confidence","prompt_tokens","completion_tokens","total_tokens","latency_ms","reason"
"BrainDrops","17","0.592592592592593","0","2077","2437","llm_base","ALLOW_BUY","NO_RISK","positive","neutral","0.8","768","55","823","4288","Strong market activity with high trade volume and user count, no negative reputation evidence provided."
"BrainDrops","17","0.592592592592593","0","2077","2437","llm_base_rank","ALLOW_BUY","NO_RISK","positive","neutral","0.7","908","53","961","4277","Strong market activity offsets a neutral reputation signal."
"BrainDrops","17","0.592592592592593","0","2077","2437","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","822","57","879","4633","Both market and reputation signals are neutral, indicating no clear risk."
"BrainDrops","17","0.592592592592593","0","2077","2437","llm_base_rank_mini","AVOID_BUY","RISK","neutral","negative","0.65","792","54","846","5566","Negative reputation evidence with neutral market signals indicates meaningful risk."
"BrainDrops","18","0.571428571428571","0","123","2437","llm_base","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","770","54","824","6704","Market activity is stable with no strong negative signals."
"BrainDrops","18","0.571428571428571","0","123","2437","llm_base_rank","AVOID_BUY","RISK","negative","neutral","0.7","910","60","970","5646","Clear negative market trend with declining price and activity, while reputation is only moderately weak."
"BrainDrops","18","0.571428571428571","0","123","2437","llm_base_rank_compact","AVOID_BUY","RISK","negative","neutral","0.65","830","53","883","4757","Negative market trend with neutral reputation indicates meaningful risk."
"BrainDrops","18","0.571428571428571","0","123","2437","llm_base_rank_mini","AVOID_BUY","RISK","negative","neutral","0.7","796","52","848","5046","Negative market signal with neutral reputation indicates risk."
"BrainDrops","19","0.533333333333333","0","237","2437","llm_base","ALLOW_BUY","NO_RISK","positive","neutral","0.85","770","47","817","4662","Strong market activity with no negative reputation signals."
"BrainDrops","19","0.533333333333333","0","237","2437","llm_base_rank","ALLOW_BUY","NO_RISK","positive","neutral","0.8","910","54","964","5066","Strong positive market activity offsets a neutral reputation signal."
"BrainDrops","19","0.533333333333333","0","237","2437","llm_base_rank_compact","ALLOW_BUY","NO_RISK","positive","neutral","0.75","830","52","882","4577","Positive market signals offset a neutral reputation."
"BrainDrops","19","0.533333333333333","0","237","2437","llm_base_rank_mini","ALLOW_BUY","NO_RISK","positive","neutral","0.7","796","52","848","5001","Positive price trend offsets neutral reputation."
"BrainDrops","20","0.529411764705882","0","504","2712","llm_base","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","771","57","828","4756","Market activity is high and stable with only a minor price dip."
"BrainDrops","20","0.529411764705882","0","504","2712","llm_base_rank","ALLOW_BUY","NO_RISK","neutral","neutral","0.75","911","62","973","4661","Market activity is stable and reputation is average, with no strong negative signals from either group."
"BrainDrops","20","0.529411764705882","0","504","2712","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","830","57","887","4430","Both market and reputation signals are neutral, indicating no clear risk."
"BrainDrops","20","0.529411764705882","0","504","2712","llm_base_rank_mini","AVOID_BUY","RISK","negative","neutral","0.6","796","56","852","4749","Negative market trend combined with neutral but below-average reputation indicates risk."
"BrainDrops","21","0.447368421052632","0","80","2712","llm_base","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","770","54","824","4691","Market activity is stable with no reputation evidence provided."
"BrainDrops","21","0.447368421052632","0","80","2712","llm_base_rank","ALLOW_BUY","NO_RISK","positive","neutral","0.75","910","56","966","5562","Strong market activity and price growth offset a neutral reputation signal."
"BrainDrops","21","0.447368421052632","0","80","2712","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","830","57","887","6964","Both market and reputation signals are neutral, indicating no strong risk."
"BrainDrops","21","0.447368421052632","0","80","2712","llm_base_rank_mini","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","796","52","848","5835","Both market and reputation signals are neutral."
"BrainDrops","22","0.5","0","64","2712","llm_base","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","769","50","819","4559","Market activity is stable with moderate volume and minor price fluctuation."
"BrainDrops","22","0.5","0","64","2712","llm_base_rank","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","909","57","966","4916","Both market and reputation signals are moderate with no strong negative indicators."
"BrainDrops","22","0.5","0","64","2712","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","829","58","887","5095","Both market and reputation signals are neutral, indicating no clear risk."
"BrainDrops","22","0.5","0","64","2712","llm_base_rank_mini","AVOID_BUY","RISK","negative","neutral","0.6","796","52","848","4928","Negative market signal with neutral reputation indicates risk."
"BrainDrops","23","0.447368421052632","0","695","3558","llm_base","ALLOW_BUY","NO_RISK","positive","neutral","0.7","771","60","831","5020","Strong market activity with high volume and user engagement outweighs a minor price dip."
"BrainDrops","23","0.447368421052632","0","695","3558","llm_base_rank","ALLOW_BUY","NO_RISK","neutral","neutral","0.75","911","60","971","4867","Market activity is healthy and reputation is average, with no strong negative signals present."
"BrainDrops","23","0.447368421052632","0","695","3558","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.8","830","58","888","4802","Both market and reputation signals are neutral, indicating no meaningful risk."
"BrainDrops","23","0.447368421052632","0","695","3558","llm_base_rank_mini","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","796","58","854","4712","Both market and reputation signals are neutral, indicating no meaningful risk."
"BrainDrops","24","0.421052631578947","0","591","3558","llm_base","ALLOW_BUY","NO_RISK","positive","neutral","0.85","771","55","826","4685","Strong market activity and price increase outweigh neutral reputation."
"BrainDrops","24","0.421052631578947","0","591","3558","llm_base_rank","ALLOW_BUY","NO_RISK","positive","neutral","0.75","911","55","966","5045","Strong positive market activity outweighs a neutral reputation signal."
"BrainDrops","24","0.421052631578947","0","591","3558","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","neutral","0.75","830","64","894","7191","Market shows modest price gain with slightly lower activity, and reputation is average with no persistent low streak."
"BrainDrops","24","0.421052631578947","0","591","3558","llm_base_rank_mini","ALLOW_BUY","NO_RISK","positive","neutral","0.75","796","56","852","4969","Positive price trend and neutral reputation indicate no meaningful risk."
"BrainDrops","25","0.315789473684211","0","645","4412","llm_base","ALLOW_BUY","NO_RISK","positive","neutral","0.85","770","56","826","14951","Strong market activity and price growth indicate low immediate risk."
"BrainDrops","25","0.315789473684211","0","645","4412","llm_base_rank","ALLOW_BUY","NO_RISK","positive","neutral","0.8","910","59","969","9864","Strong positive market activity and stable, above-average reputation indicate low risk."
"BrainDrops","25","0.315789473684211","0","645","4412","llm_base_rank_compact","ALLOW_BUY","NO_RISK","positive","neutral","0.85","830","57","887","6002","Positive price trend and stable trading volume outweigh a moderate reputation score."
"BrainDrops","25","0.315789473684211","0","645","4412","llm_base_rank_mini","ALLOW_BUY","NO_RISK","positive","neutral","0.75","796","56","852","5347","Positive price trend and neutral reputation indicate no meaningful risk."
"BrainDrops","26","0.325","0","595","5202","llm_base","ALLOW_BUY","NO_RISK","neutral","neutral","0.6","770","60","830","5302","Market shows moderate activity with minor price decline, and no reputation evidence is provided."
"BrainDrops","26","0.325","0","595","5202","llm_base_rank","ALLOW_BUY","NO_RISK","neutral","neutral","0.7","910","62","972","4920","Market shows moderate activity with slight declines, and reputation is average with no persistent low credibility."
"BrainDrops","26","0.325","0","595","5202","llm_base_rank_compact","ALLOW_BUY","NO_RISK","neutral","positive","0.7","830","52","882","4553","Positive reputation clearly offsets neutral market signals."
"BrainDrops","26","0.325","0","595","5202","llm_base_rank_mini","ALLOW_BUY","NO_RISK","neutral","positive","0.7","796","55","851","4734","Positive reputation offsets a neutral, slightly negative market signal."
